SPI-T-Class,SPI-TVT-Class,Transitions,Transitions (%),Scale,Distribution
Very Wet,Moderately Wet,313688,2.1,6,Gamma
Extremely Wet,Very Wet,131035,0.9,6,Gamma
Near Normal,Moderately Dry,328327,2.2,6,Gamma
Moderately Wet,Near Normal,517129,3.4,6,Gamma
Moderately Dry,Very Dry,151663,1,6,Gamma
Very Dry,Extremely Dry,52855,0.4,6,Gamma
Very Wet,Extremely Wet,5603,0,6,Gamma
Moderately Wet,Very Wet,5078,0,6,Gamma
Near Normal,Moderately Wet,5087,0,6,Gamma
Moderately Dry,Near Normal,4506,0,6,Gamma
Very Dry,Moderately Dry,6624,0,6,Gamma
Extremely Dry,Very Dry,5334,0,6,Gamma
Moderately Dry,Very Dry,55542,0.4,6,NSGamma
Moderately Wet,Near Normal,176801,1.2,6,NSGamma
Extremely Wet,Very Wet,59948,0.4,6,NSGamma
Moderately Dry,Near Normal,265069,1.8,6,NSGamma
Near Normal,Moderately Wet,123687,0.8,6,NSGamma
Very Wet,Extremely Wet,36063,0.2,6,NSGamma
Moderately Wet,Very Wet,78785,0.5,6,NSGamma
Very Dry,Moderately Dry,161476,1.1,6,NSGamma
Extremely Dry,Very Dry,69308,0.5,6,NSGamma
Very Dry,Extremely Dry,31538,0.2,6,NSGamma
Very Wet,Moderately Wet,119905,0.8,6,NSGamma
Near Normal,Moderately Dry,94137,0.6,6,NSGamma
Extremely Dry,Moderately Dry,817,0,6,NSGamma
Very Dry,Near Normal,699,0,6,NSGamma
Moderately Wet,Extremely Wet,2,0,6,NSGamma
Moderately Dry,Extremely Dry,20,0,6,NSGamma
Near Normal,Very Dry,5,0,6,NSGamma
Extremely Wet,Moderately Wet,210,0,6,NSGamma
Very Wet,Near Normal,25,0,6,NSGamma
