SPI-T-Class,SPI-TVT-Class,Transitions,Percentage,Scale
Moderately Wet,Near Normal,786247,5.26,9
Very Dry,Extremely Dry,95465,0.64,9
Very Wet,Moderately Wet,341908,2.29,9
Near Normal,Moderately Dry,453465,3.03,9
Near Normal,Very Dry,38639,0.26,9
Moderately Dry,Very Dry,252748,1.69,9
Extremely Dry,Very Dry,28943,0.19,9
Extremely Wet,Very Wet,85171,0.57,9
Moderately Wet,Very Dry,30047,0.2,9
Very Dry,Moderately Dry,70639,0.47,9
Extremely Wet,Very Dry,3131,0.02,9
Very Dry,Near Normal,44040,0.29,9
Very Dry,Very Wet,6445,0.04,9
Moderately Dry,Near Normal,26197,0.18,9
Very Wet,Very Dry,12745,0.09,9
Moderately Wet,Very Wet,15141,0.1,9
Very Wet,Extremely Wet,8820,0.06,9
Very Dry,Moderately Wet,21038,0.14,9
Near Normal,Moderately Wet,19170,0.13,9
Extremely Wet,Moderately Wet,10230,0.07,9
Very Dry,Extremely Wet,770,0.01,9
Very Wet,Near Normal,17763,0.12,9
Moderately Dry,Extremely Dry,2,0,9
Extremely Dry,Moderately Dry,29,0,9
Extremely Wet,Near Normal,5,0,9
