SPI-T-Class,SPI-TVT-Class,Transitions,Percentage,Scale
Near Normal,Moderately Dry,398189,2.64,6
Moderately Wet,Near Normal,584706,3.88,6
Very Wet,Moderately Wet,321656,2.13,6
Extremely Wet,Very Wet,96689,0.64,6
Moderately Dry,Near Normal,55278,0.37,6
Very Dry,Moderately Dry,80255,0.53,6
Near Normal,Very Dry,37065,0.25,6
Moderately Dry,Very Dry,239421,1.59,6
Extremely Dry,Very Dry,31568,0.21,6
Very Dry,Extremely Dry,93761,0.62,6
Very Wet,Very Dry,14314,0.09,6
Moderately Wet,Very Dry,29902,0.2,6
Near Normal,Moderately Wet,27794,0.18,6
Very Wet,Extremely Wet,14085,0.09,6
Very Dry,Near Normal,42017,0.28,6
Moderately Wet,Very Wet,25646,0.17,6
Very Dry,Moderately Wet,23518,0.16,6
Very Dry,Very Wet,8443,0.06,6
Very Dry,Extremely Wet,1502,0.01,6
Extremely Wet,Very Dry,3438,0.02,6
Very Wet,Near Normal,4819,0.03,6
Extremely Wet,Moderately Wet,6515,0.04,6
