SPI-T-Class,SPI-TVT-Class,Transitions,Percentage,Scale
Moderately Wet,Near Normal,399995,2.64,3
Moderately Dry,Very Dry,253146,1.67,3
Very Dry,Extremely Dry,128318,0.85,3
Very Wet,Moderately Wet,234618,1.55,3
Extremely Wet,Very Wet,73557,0.48,3
Moderately Dry,Near Normal,69626,0.46,3
Moderately Wet,Very Dry,30121,0.2,3
Near Normal,Moderately Dry,370409,2.44,3
Very Wet,Extremely Wet,33434,0.22,3
Very Dry,Near Normal,37299,0.25,3
Near Normal,Moderately Wet,75731,0.5,3
Very Dry,Moderately Dry,80916,0.53,3
Extremely Dry,Very Dry,32244,0.21,3
Moderately Wet,Very Wet,57547,0.38,3
Near Normal,Very Dry,39321,0.26,3
Very Wet,Very Dry,14019,0.09,3
Very Dry,Moderately Wet,25349,0.17,3
Very Dry,Extremely Wet,2423,0.02,3
Extremely Wet,Very Dry,3322,0.02,3
Very Dry,Very Wet,10782,0.07,3
Extremely Wet,Moderately Wet,2840,0.02,3
Very Wet,Near Normal,3505,0.02,3
Extremely Dry,Moderately Dry,94,0,3
