SPI-T-Class,SPI-TVT-Class,Transitions,Percentage,Scale
Near Normal,Moderately Dry,752868,5.23,24
Very Dry,Moderately Dry,50310,0.35,24
Near Normal,Very Dry,45901,0.32,24
Very Dry,Extremely Dry,167415,1.16,24
Moderately Dry,Very Dry,402791,2.8,24
Moderately Wet,Near Normal,892202,6.19,24
Very Dry,Near Normal,42952,0.3,24
Very Wet,Moderately Wet,299741,2.08,24
Extremely Wet,Very Wet,102813,0.71,24
Moderately Wet,Very Dry,20443,0.14,24
Extremely Wet,Very Dry,3586,0.02,24
Very Wet,Very Dry,11887,0.08,24
Very Dry,Moderately Wet,15359,0.11,24
Very Dry,Very Wet,6207,0.04,24
Moderately Wet,Very Wet,18098,0.13,24
Very Wet,Extremely Wet,10412,0.07,24
Near Normal,Moderately Wet,13243,0.09,24
Extremely Wet,Moderately Wet,38658,0.27,24
Very Wet,Near Normal,97138,0.67,24
Extremely Dry,Very Dry,33682,0.23,24
Moderately Dry,Extremely Dry,660,0,24
Very Dry,Extremely Wet,812,0.01,24
Moderately Dry,Near Normal,2512,0.02,24
Extremely Wet,Near Normal,4208,0.03,24
