SPI-T-Class,SPI-TVT-Class,Transitions,Transitions (%),Scale,Distribution
Very Wet,Moderately Wet,411736,2.8,9,Gamma
Moderately Wet,Near Normal,768864,5.1,9,Gamma
Near Normal,Moderately Dry,439892,2.9,9,Gamma
Extremely Wet,Very Wet,147822,1,9,Gamma
Moderately Dry,Very Dry,199769,1.3,9,Gamma
Very Dry,Extremely Dry,70010,0.5,9,Gamma
Very Wet,Extremely Wet,3109,0,9,Gamma
Very Dry,Moderately Dry,10878,0.1,9,Gamma
Moderately Dry,Near Normal,4787,0,9,Gamma
Extremely Dry,Very Dry,15466,0.1,9,Gamma
Near Normal,Moderately Wet,5494,0,9,Gamma
Moderately Wet,Very Wet,5450,0,9,Gamma
Extremely Wet,Moderately Wet,5733,0,9,Gamma
Very Wet,Near Normal,3632,0,9,Gamma
Very Dry,Extremely Dry,39763,0.3,9,NSGamma
Near Normal,Moderately Dry,124244,0.8,9,NSGamma
Very Wet,Moderately Wet,166349,1.1,9,NSGamma
Moderately Wet,Near Normal,233577,1.6,9,NSGamma
Moderately Dry,Very Dry,75908,0.5,9,NSGamma
Near Normal,Moderately Wet,160150,1.1,9,NSGamma
Moderately Dry,Near Normal,334345,2.2,9,NSGamma
Moderately Wet,Very Wet,101382,0.7,9,NSGamma
Very Dry,Moderately Dry,211729,1.4,9,NSGamma
Extremely Dry,Very Dry,82042,0.6,9,NSGamma
Very Wet,Extremely Wet,36898,0.2,9,NSGamma
Extremely Wet,Very Wet,74871,0.5,9,NSGamma
Extremely Dry,Moderately Dry,7385,0,9,NSGamma
Very Dry,Near Normal,5874,0,9,NSGamma
Extremely Wet,Moderately Wet,1091,0,9,NSGamma
Moderately Dry,Extremely Dry,182,0,9,NSGamma
Very Wet,Near Normal,595,0,9,NSGamma
Moderately Wet,Extremely Wet,26,0,9,NSGamma
Near Normal,Very Wet,12,0,9,NSGamma
Near Normal,Very Dry,170,0,9,NSGamma
