SPI-T-Class,SPI-TVT-Class,Transitions,Transitions (%),Scale,Distribution
Near Normal,Moderately Dry,821141,5.7,24,Gamma
Moderately Dry,Very Dry,407166,2.8,24,Gamma
Moderately Wet,Near Normal,1010943,7,24,Gamma
Very Dry,Extremely Dry,176200,1.2,24,Gamma
Very Wet,Moderately Wet,358093,2.5,24,Gamma
Extremely Wet,Very Wet,137890,1,24,Gamma
Moderately Wet,Very Wet,15557,0.1,24,Gamma
Very Wet,Extremely Wet,11524,0.1,24,Gamma
Extremely Wet,Moderately Wet,52702,0.4,24,Gamma
Very Wet,Near Normal,113761,0.8,24,Gamma
Near Normal,Moderately Wet,11851,0.1,24,Gamma
Very Dry,Moderately Dry,14285,0.1,24,Gamma
Moderately Dry,Near Normal,2306,0,24,Gamma
Moderately Dry,Extremely Dry,153,0,24,Gamma
Extremely Dry,Very Dry,38485,0.3,24,Gamma
Extremely Wet,Near Normal,5761,0,24,Gamma
Moderately Wet,Near Normal,385130,2.7,24,NSGamma
Very Wet,Moderately Wet,268114,1.9,24,NSGamma
Extremely Dry,Very Dry,74632,0.5,24,NSGamma
Extremely Wet,Very Wet,92659,0.6,24,NSGamma
Very Dry,Moderately Dry,173896,1.2,24,NSGamma
Moderately Dry,Near Normal,523884,3.6,24,NSGamma
Near Normal,Moderately Wet,323303,2.2,24,NSGamma
Moderately Wet,Very Wet,164366,1.1,24,NSGamma
Very Wet,Extremely Wet,91454,0.6,24,NSGamma
Near Normal,Moderately Dry,278184,1.9,24,NSGamma
Moderately Dry,Very Dry,170824,1.2,24,NSGamma
Very Dry,Extremely Dry,61156,0.4,24,NSGamma
Extremely Dry,Moderately Dry,20200,0.1,24,NSGamma
Very Dry,Near Normal,96019,0.7,24,NSGamma
Moderately Dry,Extremely Dry,5259,0,24,NSGamma
Near Normal,Very Dry,12413,0.1,24,NSGamma
Extremely Dry,Near Normal,17164,0.1,24,NSGamma
Very Wet,Near Normal,22205,0.2,24,NSGamma
Near Normal,Very Wet,11319,0.1,24,NSGamma
Extremely Wet,Moderately Wet,14932,0.1,24,NSGamma
Moderately Wet,Extremely Wet,3644,0,24,NSGamma
Extremely Wet,Near Normal,903,0,24,NSGamma
Near Normal,Extremely Wet,6,0,24,NSGamma
Near Normal,Extremely Dry,114,0,24,NSGamma
