"Class","TotalRecords","TotalBasins","Sig.Diff.Basins_T_TVT","Sig.Diff.Basins_T_TV","% Basins T_TVT","% Basins T_TV","Switches_T_TVT","Switches_T_TV","% Records T_TVT","% Records T_TV","MAPE_T_TVT","MAPE_T_TV","MAINCLASS","Scale"
"32",1889937,4809,4136,2673,86.01,55.58,415989,271393,22.01,14.36,4.04033114521742,2.33583866559806,"WARM TEMPERATE",24
"43",11977068,30476,26079,16195,85.57,53.14,2502210,1701901,20.89,14.21,4.10636218115495,2.35259742867404,"SNOW",24
"62",540768,1376,1218,803,88.52,58.36,115204,80792,21.3,14.94,2.80765562656043,1.52627674529006,"POLAR",24
"All",14407773,36661,31433,19671,85.74,53.66,3036078,2055564,21.07,14.27,4.04722659078701,2.31819949368436,NA,24
