"Class","TotalRecords","TotalBasins","Sig.Diff.Basins_T_TVT","Sig.Diff.Basins_T_TV","% Basins T_TVT","% Basins T_TV","Switches_T_TVT","Switches_T_TV","% Records T_TVT","% Records T_TV","MAPE_T_TVT","MAPE_T_TV","MAINCLASS","Scale"
"32",1962072,4809,2956,976,61.47,20.3,308948,219739,15.75,11.2,12.2519063992416,5.99647451031129,"WARM TEMPERATE",9
"43",12434208,30476,19982,4970,65.57,16.31,1967006,1432931,15.82,11.52,2.02946347894513,1.18819894701417,"SNOW",9
"62",561408,1376,971,263,70.57,19.11,92779,67796,16.53,12.08,1.77004320455462,0.995294340879344,"POLAR",9
"All",14957688,36661,23909,6209,65.22,16.94,2370537,1721666,15.85,11.51,3.35908850672122,1.81080941349464,NA,9
