"Class","TotalRecords","TotalBasins","Sig.Diff.Basins_T_TVT","Sig.Diff.Basins_T_TV","% Basins T_TVT","% Basins T_TV","Switches_T_TVT","Switches_T_TV","% Records T_TVT","% Records T_TV","MAPE_T_TVT","MAPE_T_TV","MAINCLASS","Scale"
"32",1976499,4809,2137,418,44.44,8.69,286020,213277,14.47,10.79,1.5808620551317,0.984142291437117,"WARM TEMPERATE",6
"43",12525636,30476,14002,1591,45.94,5.22,1770936,1350571,14.14,10.78,1.94173848869663,1.18684882719634,"SNOW",6
"62",565536,1376,749,82,54.43,5.96,83569,63534,14.78,11.23,1.52398599844286,0.954525718720157,"POLAR",6
"All",15067671,36661,16888,2091,46.07,5.7,2142236,1628590,14.22,10.81,1.87793088979244,1.1510086846159,NA,6
