"Class","TotalRecords","TotalBasins","Sig.Diff.Basins_T_TVT","Sig.Diff.Basins_T_TV","% Basins T_TVT","% Basins T_TV","Switches_T_TVT","Switches_T_TV","% Records T_TVT","% Records T_TV","MAPE_T_TVT","MAPE_T_TV","MAINCLASS","Scale"
"32",1990926,4809,1077,30,22.4,0.62,260271,192965,13.07,9.69,1.38815566714651,1.06343991448551,"WARM TEMPERATE",3
"43",12617064,30476,5992,18,19.66,0.06,1642760,1225645,13.02,9.71,1.85783175856655,1.29814764800714,"SNOW",3
"62",569664,1376,304,2,22.09,0.15,75742,57014,13.3,10.01,2.08789859083487,1.33612491911689,"POLAR",3
"All",15177654,36661,7373,50,20.11,0.14,1980222,1476673,13.05,9.73,1.80420890101994,1.26833436947435,NA,3
